[F2](==,||);BATT
02:08:10;3224;7794,29
02:08:30;3224;7794,29
02:08:50;3223;7791,87
02:09:10;3225;7796,70
02:09:30;3224;7794,29
02:09:50;3223;7791,87
02:10:10;3223;7791,87
02:10:30;3224;7794,29
02:10:50;3223;7791,87
02:11:10;3223;7791,87
02:11:30;3223;7791,87
02:11:50;3224;7794,29
02:12:10;3224;7794,29
02:12:30;3223;7791,87
02:12:50;3224;7794,29
02:13:10;3223;7791,87
02:13:30;3223;7791,87
02:13:50;3224;7794,29
02:14:10;3223;7791,87
02:14:30;3226;7799,12
02:14:50;3223;7791,87
02:15:10;3223;7791,87
02:15:30;3224;7794,29
02:15:50;3222;7789,45
02:16:10;3222;7789,45
02:16:30;3224;7794,29
02:16:50;3224;7794,29
02:17:10;3225;7796,70
02:17:30;3223;7791,87
02:17:50;3224;7794,29
02:18:10;3219;7782,20
02:18:30;3224;7794,29
02:18:50;3223;7791,87
02:19:10;3222;7789,45
02:19:30;3223;7791,87
02:19:50;3223;7791,87
02:20:10;3222;7789,45
02:20:30;3222;7789,45
02:20:50;3222;7789,45
02:21:10;3222;7789,45
02:21:30;3223;7791,87
02:21:50;3223;7791,87
02:22:10;3222;7789,45
02:22:30;3222;7789,45
02:22:50;3221;7787,03
02:23:10;3222;7789,45
02:23:30;3221;7787,03
02:23:50;3221;7787,03
02:24:10;3220;7784,62
02:24:30;3222;7789,45
02:24:50;3221;7787,03
02:25:10;3221;7787,03
02:25:30;3220;7784,62
02:25:50;3221;7787,03
02:26:10;3219;7782,20
02:26:30;3219;7782,20
02:26:50;3222;7789,45
02:27:10;3220;7784,62
02:27:30;3220;7784,62
02:27:50;3220;7784,62
02:28:10;3219;7782,20
02:28:30;3220;7784,62
02:28:50;3220;7784,62
02:29:10;3221;7787,03
02:29:30;3221;7787,03
02:29:50;3219;7782,20
02:30:10;3221;7787,03
02:30:30;3221;7787,03
02:30:50;3219;7782,20
02:31:10;3220;7784,62
02:31:30;3221;7787,03
02:31:50;3220;7784,62
02:32:10;3219;7782,20
02:32:30;3220;7784,62
02:32:50;3220;7784,62
02:33:10;3218;7779,78
02:33:30;3218;7779,78
02:33:50;3219;7782,20
02:34:10;3220;7784,62
02:34:30;3220;7784,62
02:34:50;3218;7779,78
02:35:10;3220;7784,62
02:35:30;3219;7782,20
02:35:50;3217;7777,36
02:36:10;3217;7777,36
02:36:30;3220;7784,62
02:36:50;3218;7779,78
02:37:10;3217;7777,36
02:37:30;3218;7779,78
02:37:50;3220;7784,62
02:38:10;3217;7777,36
02:38:30;3218;7779,78
02:38:50;3216;7774,94
02:39:10;3216;7774,94
02:39:30;3216;7774,94
02:39:50;3217;7777,36
02:40:10;3217;7777,36
02:40:30;3219;7782,20
02:40:50;3218;7779,78
02:41:10;3218;7779,78
02:41:30;3215;7772,53
02:41:50;3214;7770,11
02:42:10;3217;7777,36
02:42:30;3217;7777,36
02:42:50;3215;7772,53
02:43:10;3215;7772,53
02:43:30;3216;7774,94
02:43:50;3216;7774,94
02:44:10;3217;7777,36
02:44:30;3216;7774,94
02:44:50;3216;7774,94
02:45:10;3216;7774,94
02:45:30;3216;7774,94
02:45:50;3216;7774,94
02:46:10;3216;7774,94
